date,net_deposit_flow_pct
2024-01-02,0.0
2024-01-03,0.1002
2024-01-04,0.0305
2024-01-05,0.0501
2024-01-08,-0.4032
2024-01-09,-0.3295
2024-01-10,-0.2525
2024-01-11,0.3363
2024-01-12,0.3188
2024-01-15,0.1731
2024-01-16,0.7068
2024-01-17,0.1666
2024-01-18,-0.0641
2024-01-19,-0.762
2024-01-22,0.2086
2024-01-23,0.5004
2024-01-24,0.642
2024-01-25,0.6206
2024-01-26,0.3854
2024-01-29,0.2982
2024-01-30,0.0632
2024-01-31,-0.0467
2024-02-01,-0.004
2024-02-02,0.6026
2024-02-05,0.5537
2024-02-06,0.2811
2024-02-07,-0.0771
2024-02-08,-0.2964
2024-02-09,0.4781
2024-02-12,0.4656
2024-02-13,0.2831
2024-02-14,0.0172
2024-02-15,-0.4341
2024-02-16,-0.2655
2024-02-19,0.2034
2024-02-20,-0.0451
2024-02-21,-0.1157
2024-02-22,-0.1521
2024-02-23,-0.0398
2024-02-26,-0.6591
2024-02-27,-0.4567
2024-02-28,-0.5929
2024-02-29,0.0277
2024-03-01,-0.293
2024-03-04,0.0697
2024-03-05,0.6481
2024-03-06,0.231
2024-03-07,-0.1136
2024-03-08,0.0141
2024-03-11,0.0069
2024-03-12,-0.3936
2024-03-13,-0.0321
2024-03-14,0.7885
2024-03-15,0.3305
2024-03-18,0.1006
2024-03-19,-0.3626
2024-03-20,-0.0718
2024-03-21,-0.5383
2024-03-22,-0.7388
2024-03-25,0.1055
2024-03-26,-0.3042
2024-03-27,0.2653
2024-03-28,0.7556
2024-03-29,0.5193
2024-04-01,0.507
2024-04-02,1.0597
2024-04-03,0.5042
2024-04-04,0.0401
2024-04-05,-0.5192
2024-04-08,-0.2689
2024-04-09,0.4438
2024-04-10,0.6279
2024-04-11,-0.0315
2024-04-12,-0.3595
2024-04-15,-0.3994
2024-04-16,-0.1027
2024-04-17,-0.1386
2024-04-18,0.0095
2024-04-19,0.1239
2024-04-22,-0.0513
2024-04-23,-0.0443
2024-04-24,0.0583
2024-04-25,-0.0015
2024-04-26,0.2006
2024-04-29,0.8587
2024-04-30,0.7091
2024-05-01,0.4123
2024-05-02,-0.4477
2024-05-03,-0.091
2024-05-06,-0.8287
2024-05-07,-1.0194
2024-05-08,-0.2188
2024-05-09,0.1621
2024-05-10,0.0292
2024-05-13,-0.6679
2024-05-14,-0.5159
2024-05-15,-0.5552
2024-05-16,-0.0506
2024-05-17,0.8752
2024-05-20,0.5682
2024-05-21,0.0008
2024-05-22,-0.4678
2024-05-23,-0.2797
2024-05-24,-0.2246
2024-05-27,-0.5841
2024-05-28,-0.2747
2024-05-29,-0.6115
2024-05-30,0.1085
2024-05-31,0.4848
2024-06-03,0.7005
2024-06-04,0.1957
2024-06-05,0.3134
2024-06-06,0.1196
2024-06-07,-0.0898
2024-06-10,-0.185
2024-06-11,-0.6217
2024-06-12,-0.9195
2024-06-13,-0.188
2024-06-14,-0.1799
2024-06-17,-0.0124
2024-06-18,0.3939
2024-06-19,-0.4766
2024-06-20,-0.5758
2024-06-21,-0.2466
2024-06-24,0.0212
2024-06-25,-0.1392
2024-06-26,0.3351
2024-06-27,0.2685
2024-06-28,-0.3377
2024-07-01,-0.558
2024-07-02,0.0153
2024-07-03,0.1939
2024-07-04,-0.653
2024-07-05,0.18
2024-07-08,0.3382
2024-07-09,0.7233
2024-07-10,0.2444
2024-07-11,0.0161
2024-07-12,-0.4417
2024-07-15,0.7718
2024-07-16,0.3543
2024-07-17,0.8299
2024-07-18,0.1975
2024-07-19,0.1742
2024-07-22,-0.5727
2024-07-23,-0.4682
2024-07-24,0.136
2024-07-25,-0.4259
2024-07-26,0.1947
2024-07-29,0.242
2024-07-30,-0.2845
2024-07-31,-0.3571
2024-08-01,-0.38
2024-08-02,-0.2288
2024-08-05,-0.3403
2024-08-06,-0.5181
2024-08-07,-0.4068
2024-08-08,-0.6345
2024-08-09,-0.8648
2024-08-12,-0.4949
2024-08-13,0.081
2024-08-14,-0.5672
2024-08-15,-0.3106
2024-08-16,-0.4308
2024-08-19,-0.6278
2024-08-20,-0.0039
2024-08-21,-0.2094
2024-08-22,0.4841
2024-08-23,-0.0457
2024-08-26,0.1295
2024-08-27,-0.0197
2024-08-28,-0.3124
2024-08-29,0.0632
2024-08-30,-0.0272
2024-09-02,0.2263
2024-09-03,0.1056
2024-09-04,-0.3763
2024-09-05,-0.2478
2024-09-06,-0.1155
2024-09-09,0.3199
2024-09-10,-0.1866
2024-09-11,-0.1184
2024-09-12,-0.7538
2024-09-13,-0.154
2024-09-16,-0.5173
2024-09-17,-1.0071
2024-09-18,-0.5776
2024-09-19,0.1246
2024-09-20,-0.5412
2024-09-23,-0.7329
2024-09-24,-0.7004
2024-09-25,-0.837
2024-09-26,-0.3086
2024-09-27,-0.4927
2024-09-30,-0.5596
2024-10-01,-0.0744
2024-10-02,-0.3432
2024-10-03,-0.0156
2024-10-04,-0.3971
2024-10-07,-0.7033
2024-10-08,-6.7033
2024-10-09,-8.2546
2024-10-10,-6.4557
2024-10-11,-6.6471
2024-10-14,-6.3279
2024-10-15,-6.2609
2024-10-16,-6.023
2024-10-17,-5.888
2024-10-18,-4.0823
2024-10-21,-4.9561
2024-10-22,-6.2834
2024-10-23,-7.0999
2024-10-24,-8.1947
2024-10-25,-7.3995
2024-10-28,-6.5502
2024-10-29,-7.3171
2024-10-30,-8.4587
2024-10-31,-8.6512
2024-11-01,-7.2694
2024-11-04,-9.698
2024-11-05,-9.0785
2024-11-06,-9.9105
2024-11-07,-8.8255
2024-11-08,-9.6633
2024-11-11,-9.7752
2024-11-12,-10.9842
2024-11-13,-11.699
2024-11-14,-10.2763
2024-11-15,-9.3836
2024-11-18,-9.6043
2024-11-19,-10.2434
2024-11-20,-11.7942
2024-11-21,-11.9716
2024-11-22,-11.8198
2024-11-25,-11.7182
2024-11-26,-11.6268
2024-11-27,-12.462
2024-11-28,-12.3348
2024-11-29,-12.1845
2024-12-02,-10.8403
2024-12-03,-8.9976
2024-12-04,-8.9859
2024-12-05,-9.5408
2024-12-06,-9.4562
2024-12-09,-9.8612
2024-12-10,-10.3815
2024-12-11,-10.2785
2024-12-12,-11.0633
2024-12-13,-10.3519
2024-12-16,-10.2901
2024-12-17,-9.9108
2024-12-18,-9.9268
2024-12-19,-10.4324
2024-12-20,-11.1291
2024-12-23,-11.1757
2024-12-24,-11.5019
2024-12-25,-11.1189
2024-12-26,-10.9561
2024-12-27,-12.0178
2024-12-30,-11.7772
2024-12-31,-12.8091
2025-01-01,-13.1718
2025-01-02,-13.2391
2025-01-03,-14.9083
2025-01-06,-14.6023
2025-01-07,-14.2474
2025-01-08,-14.1759
2025-01-09,-14.3451
2025-01-10,-14.4662
2025-01-13,-15.1281
2025-01-14,-15.1439
2025-01-15,-15.4141
2025-01-16,-15.1004
2025-01-17,-15.9576
