date,net_deposit_flow_pct
2024-01-02,0.0
2024-01-03,0.0005
2024-01-04,0.1198
2024-01-05,-0.0438
2024-01-08,-0.3803
2024-01-09,-0.391
2024-01-10,-0.6117
2024-01-11,-0.3124
2024-01-12,0.3643
2024-01-15,0.0035
2024-01-16,-0.2463
2024-01-17,0.0605
2024-01-18,0.176
2024-01-19,0.139
2024-01-22,-0.2958
2024-01-23,-0.1744
2024-01-24,0.1822
2024-01-25,-0.4375
2024-01-26,-0.4237
2024-01-29,-0.9935
2024-01-30,-1.0622
2024-01-31,-1.3209
2024-02-01,-0.8205
2024-02-02,-0.9583
2024-02-05,-0.4185
2024-02-06,-0.1675
2024-02-07,-0.1669
2024-02-08,-1.0985
2024-02-09,-0.8197
2024-02-12,-0.4702
2024-02-13,-0.2133
2024-02-14,-0.7294
2024-02-15,-0.5923
2024-02-16,-0.7171
2024-02-19,-0.718
2024-02-20,0.0295
2024-02-21,-0.3068
2024-02-22,-0.1817
2024-02-23,0.2538
2024-02-26,-0.0939
2024-02-27,-0.0963
2024-02-28,-0.0088
2024-02-29,0.0207
2024-03-01,-0.4786
2024-03-04,-0.2328
2024-03-05,0.4155
2024-03-06,-0.3903
2024-03-07,0.1291
2024-03-08,0.1187
2024-03-11,-0.1913
2024-03-12,0.695
2024-03-13,0.6871
2024-03-14,-0.1018
2024-03-15,-0.0262
2024-03-18,0.2163
2024-03-19,0.0434
2024-03-20,0.2971
2024-03-21,0.1368
2024-03-22,0.3421
2024-03-25,0.7636
2024-03-26,0.1497
2024-03-27,0.1636
2024-03-28,-0.0953
2024-03-29,-0.0015
2024-04-01,-0.4757
2024-04-02,-0.4934
2024-04-03,-0.3498
2024-04-04,0.1671
2024-04-05,0.55
2024-04-08,-0.2269
2024-04-09,-0.4427
2024-04-10,0.0153
2024-04-11,-0.7886
2024-04-12,-0.619
2024-04-15,-0.3793
2024-04-16,0.2942
2024-04-17,0.4376
2024-04-18,0.1098
2024-04-19,-0.0871
2024-04-22,-0.148
2024-04-23,0.528
2024-04-24,0.1192
2024-04-25,-0.0559
2024-04-26,0.1103
2024-04-29,0.0123
2024-04-30,-0.0721
2024-05-01,-0.4853
2024-05-02,-0.2715
2024-05-03,-0.3268
2024-05-06,0.2867
2024-05-07,0.4189
2024-05-08,0.2208
2024-05-09,0.3888
2024-05-10,0.0779
2024-05-13,0.4637
2024-05-14,0.2529
2024-05-15,0.3724
2024-05-16,-0.3115
2024-05-17,-0.0327
2024-05-20,-0.6932
2024-05-21,-1.1954
2024-05-22,-0.7793
2024-05-23,-0.7886
2024-05-24,-0.3681
2024-05-27,0.6955
2024-05-28,0.0498
2024-05-29,-0.2222
2024-05-30,-0.04
2024-05-31,0.1752
2024-06-03,0.0258
2024-06-04,-0.0682
2024-06-05,0.2435
2024-06-06,0.3419
2024-06-07,-0.2254
2024-06-10,-0.1557
2024-06-11,-0.0715
2024-06-12,-0.4611
2024-06-13,-0.1497
2024-06-14,-0.4255
2024-06-17,0.1548
2024-06-18,0.1622
2024-06-19,0.125
2024-06-20,-0.1677
2024-06-21,-0.1397
2024-06-24,-0.8759
2024-06-25,-0.9343
2024-06-26,-0.3687
2024-06-27,-1.0542
2024-06-28,-0.2412
2024-07-01,-0.8311
2024-07-02,-0.1544
2024-07-03,-0.4231
2024-07-04,0.0789
2024-07-05,0.0958
2024-07-08,-0.5621
2024-07-09,0.1905
2024-07-10,0.6815
2024-07-11,0.3485
2024-07-12,0.0821
2024-07-15,-0.0188
2024-07-16,-0.4004
2024-07-17,0.2192
2024-07-18,-0.0966
2024-07-19,-0.0736
2024-07-22,-0.3578
2024-07-23,-0.4472
2024-07-24,-0.7571
2024-07-25,0.0864
2024-07-26,-0.0141
2024-07-29,0.3786
2024-07-30,0.2136
2024-07-31,-0.1603
2024-08-01,-0.2188
2024-08-02,-0.3445
2024-08-05,-0.1863
2024-08-06,-0.2526
2024-08-07,-0.2589
2024-08-08,-0.6938
2024-08-09,-0.7043
2024-08-12,0.2742
2024-08-13,-0.1177
2024-08-14,-0.4864
2024-08-15,-0.1326
2024-08-16,0.49
2024-08-19,-0.3121
2024-08-20,-0.2551
2024-08-21,-0.3931
2024-08-22,-0.9206
2024-08-23,-0.2124
2024-08-26,-0.1262
2024-08-27,-0.0408
2024-08-28,-0.3234
2024-08-29,0.0041
2024-08-30,-0.2135
2024-09-02,-0.1746
2024-09-03,-0.5393
2024-09-04,-0.7831
2024-09-05,0.1035
2024-09-06,-0.1459
2024-09-09,0.0364
2024-09-10,0.0065
2024-09-11,-0.1729
2024-09-12,-0.2983
2024-09-13,0.088
2024-09-16,-0.0724
2024-09-17,-0.1004
2024-09-18,-0.0463
2024-09-19,0.4451
2024-09-20,0.517
2024-09-23,0.4374
2024-09-24,0.0151
2024-09-25,-0.5445
2024-09-26,0.0804
2024-09-27,0.4308
2024-09-30,0.1806
2024-10-01,0.3161
2024-10-02,0.4864
2024-10-03,0.6
2024-10-04,0.6986
2024-10-07,0.202
2024-10-08,-5.798
2024-10-09,-2.5829
2024-10-10,-1.9192
2024-10-11,-0.7109
2024-10-14,-0.1934
2024-10-15,0.2431
2024-10-16,0.8853
2024-10-17,1.0807
2024-10-18,0.1363
2024-10-21,-0.6005
2024-10-22,-0.0035
2024-10-23,-0.4079
2024-10-24,-0.2293
2024-10-25,0.2098
2024-10-28,-0.5422
2024-10-29,-1.1422
2024-10-30,-0.5245
2024-10-31,-0.2707
2024-11-01,-0.2472
2024-11-04,-0.1206
2024-11-05,-0.4105
2024-11-06,-0.8312
2024-11-07,-0.5238
2024-11-08,-0.6768
