date,delinquency_rate_change_bps
2024-01-02,0.0
2024-01-03,0.1381
2024-01-04,0.1586
2024-01-05,0.1833
2024-01-08,0.2287
2024-01-09,-0.0543
2024-01-10,-0.1115
2024-01-11,0.122
2024-01-12,0.2048
2024-01-15,0.189
2024-01-16,-0.3371
2024-01-17,-0.0476
2024-01-18,0.3213
2024-01-19,0.5021
2024-01-22,0.3815
2024-01-23,-0.2308
2024-01-24,0.1397
2024-01-25,0.0424
2024-01-26,-0.7335
2024-01-29,-0.3416
2024-01-30,-0.6594
2024-01-31,-0.7978
2024-02-01,-0.6851
2024-02-02,-0.043
2024-02-05,-0.1379
2024-02-06,-0.0042
2024-02-07,0.5218
2024-02-08,0.8017
2024-02-09,0.4661
2024-02-12,0.2165
2024-02-13,-0.244
2024-02-14,-0.3596
2024-02-15,-0.0954
2024-02-16,0.0596
2024-02-19,0.07
2024-02-20,0.3419
2024-02-21,-0.0198
2024-02-22,-0.0291
2024-02-23,0.2013
2024-02-26,0.3001
2024-02-27,0.5073
2024-02-28,0.4337
2024-02-29,0.176
2024-03-01,0.2178
2024-03-04,-0.1657
2024-03-05,-0.5946
2024-03-06,-0.1944
2024-03-07,-0.1371
2024-03-08,0.0075
2024-03-11,-0.5046
2024-03-12,-0.4224
2024-03-13,-0.4419
2024-03-14,-0.5332
2024-03-15,-1.0071
2024-03-18,-0.7249
2024-03-19,-0.1802
2024-03-20,0.0026
2024-03-21,-0.1787
2024-03-22,-0.1153
2024-03-25,0.1556
2024-03-26,-0.7317
2024-03-27,-0.491
2024-03-28,-0.1415
2024-03-29,0.1169
2024-04-01,0.5827
2024-04-02,0.7018
2024-04-03,0.5289
2024-04-04,0.4185
2024-04-05,0.4956
2024-04-08,0.1454
2024-04-09,0.0781
2024-04-10,0.3203
2024-04-11,0.7858
2024-04-12,0.4394
2024-04-15,0.2579
2024-04-16,0.2195
2024-04-17,0.539
2024-04-18,0.3251
2024-04-19,0.6424
2024-04-22,0.1083
2024-04-23,0.0113
2024-04-24,-0.0524
2024-04-25,0.2034
2024-04-26,0.4397
2024-04-29,-0.1802
2024-04-30,-0.3863
2024-05-01,-0.1384
2024-05-02,-0.2834
2024-05-03,-0.6325
2024-05-06,-0.0806
2024-05-07,0.0982
2024-05-08,0.2089
2024-05-09,-0.0131
2024-05-10,0.3005
2024-05-13,0.1143
2024-05-14,0.3998
2024-05-15,-0.0256
2024-05-16,-0.2721
2024-05-17,-0.1073
2024-05-20,-0.2772
2024-05-21,0.0307
2024-05-22,0.0971
2024-05-23,-0.2167
2024-05-24,-0.1125
2024-05-27,-0.1751
2024-05-28,0.1662
2024-05-29,-0.0867
2024-05-30,-0.1855
2024-05-31,0.2483
2024-06-03,0.8256
2024-06-04,1.1115
2024-06-05,0.7081
2024-06-06,0.5047
2024-06-07,0.7729
2024-06-10,0.4419
2024-06-11,-0.0189
2024-06-12,0.0233
2024-06-13,0.1499
2024-06-14,-0.1558
2024-06-17,-0.5905
2024-06-18,-0.7971
2024-06-19,-0.2946
2024-06-20,-0.4102
2024-06-21,-0.2967
2024-06-24,-0.1202
2024-06-25,0.1112
2024-06-26,-0.0315
2024-06-27,0.1301
2024-06-28,-0.1864
2024-07-01,-0.2241
2024-07-02,-0.4462
2024-07-03,0.0629
2024-07-04,0.0308
2024-07-05,-0.2027
2024-07-08,-0.2314
2024-07-09,-0.21
2024-07-10,0.08
2024-07-11,-0.4291
2024-07-12,-0.5772
2024-07-15,-0.4713
2024-07-16,0.4675
2024-07-17,0.5765
2024-07-18,0.324
2024-07-19,0.4145
2024-07-22,0.8742
2024-07-23,0.4719
2024-07-24,0.1826
2024-07-25,0.4768
2024-07-26,0.4439
2024-07-29,0.4766
2024-07-30,0.143
2024-07-31,0.6659
