date,delinquency_rate_change_bps
2024-01-02,0.0
2024-01-03,-0.0531
2024-01-04,0.3522
2024-01-05,0.0015
2024-01-08,-0.312
2024-01-09,0.0445
2024-01-10,0.2387
2024-01-11,0.4762
2024-01-12,-0.0264
2024-01-15,0.308
2024-01-16,0.3356
2024-01-17,0.7368
2024-01-18,0.0824
2024-01-19,0.1165
2024-01-22,-0.011
2024-01-23,-0.4838
2024-01-24,-0.5144
2024-01-25,0.0192
2024-01-26,-0.1288
2024-01-29,-0.2966
2024-01-30,0.0766
2024-01-31,0.3441
2024-02-01,0.5094
2024-02-02,0.0789
2024-02-05,0.0315
2024-02-06,0.3287
2024-02-07,0.007
2024-02-08,-0.2205
2024-02-09,0.1118
2024-02-12,0.538
2024-02-13,-0.0121
2024-02-14,-0.7867
2024-02-15,-0.9229
2024-02-16,-0.8759
2024-02-19,-0.5844
2024-02-20,-0.1776
2024-02-21,-0.154
2024-02-22,-0.3056
2024-02-23,-0.1435
2024-02-26,-0.3775
2024-02-27,-0.2481
2024-02-28,-0.3463
2024-02-29,0.5894
2024-03-01,0.6105
2024-03-04,0.128
2024-03-05,-0.2197
2024-03-06,-0.2677
2024-03-07,-0.6594
2024-03-08,-0.628
2024-03-11,-0.6108
2024-03-12,-0.1135
2024-03-13,-0.1984
2024-03-14,-0.3602
2024-03-15,-0.6254
2024-03-18,-0.7408
2024-03-19,-0.4792
2024-03-20,-0.3616
2024-03-21,0.1161
2024-03-22,-0.1168
2024-03-25,0.2454
2024-03-26,0.2293
2024-03-27,0.1407
2024-03-28,-0.5152
2024-03-29,-0.7065
2024-04-01,-0.2156
2024-04-02,0.2857
2024-04-03,0.2391
2024-04-04,0.377
2024-04-05,0.1114
2024-04-08,-0.0423
2024-04-09,-0.2251
2024-04-10,0.1528
2024-04-11,0.1976
2024-04-12,0.0523
2024-04-15,-0.0661
2024-04-16,0.126
2024-04-17,0.175
2024-04-18,-0.1411
2024-04-19,0.4273
2024-04-22,0.342
2024-04-23,0.2152
2024-04-24,0.5766
2024-04-25,0.6647
2024-04-26,0.3857
2024-04-29,0.3999
2024-04-30,-0.073
2024-05-01,-0.2375
2024-05-02,-0.8254
2024-05-03,-0.1456
2024-05-06,-0.6598
2024-05-07,-0.2047
2024-05-08,-0.3761
2024-05-09,-0.5269
2024-05-10,-0.3852
2024-05-13,-0.1589
2024-05-14,0.0851
2024-05-15,0.5843
2024-05-16,0.4698
2024-05-17,0.5557
2024-05-20,0.165
2024-05-21,0.3164
2024-05-22,0.2421
2024-05-23,0.0112
2024-05-24,-0.0219
2024-05-27,-0.0322
2024-05-28,0.0374
2024-05-29,0.1436
2024-05-30,-0.0636
2024-05-31,-0.2617
2024-06-03,0.062
2024-06-04,-0.4705
2024-06-05,-0.4772
2024-06-06,0.1699
2024-06-07,-0.7068
2024-06-10,-0.6461
2024-06-11,-0.1943
2024-06-12,-0.6156
2024-06-13,0.3978
2024-06-14,-0.5299
2024-06-17,0.1024
2024-06-18,0.5307
2024-06-19,0.6039
2024-06-20,0.308
2024-06-21,0.2981
2024-06-24,-0.0844
2024-06-25,0.1905
2024-06-26,-0.2179
2024-06-27,-0.2172
2024-06-28,0.1642
2024-07-01,-0.2325
2024-07-02,-0.2534
2024-07-03,-0.1078
2024-07-04,-0.4694
2024-07-05,0.0583
2024-07-08,0.1384
2024-07-09,-0.3689
2024-07-10,-0.2428
2024-07-11,-0.3831
2024-07-12,-0.4348
2024-07-15,-0.2466
2024-07-16,-0.3658
2024-07-17,0.0626
2024-07-18,-0.1726
2024-07-19,0.1875
2024-07-22,0.1031
2024-07-23,0.3207
2024-07-24,0.0364
2024-07-25,-0.129
2024-07-26,-0.4257
2024-07-29,-0.0906
2024-07-30,0.2252
2024-07-31,0.7754
2024-08-01,0.8679
2024-08-02,0.613
2024-08-05,0.3168
2024-08-06,0.313
2024-08-07,0.1857
2024-08-08,0.5542
2024-08-09,0.6268
2024-08-12,0.1376
2024-08-13,-0.121
2024-08-14,0.3352
2024-08-15,0.3002
2024-08-16,0.1166
2024-08-19,0.4282
2024-08-20,0.1492
2024-08-21,0.0086
2024-08-22,-0.133
2024-08-23,-0.671
2024-08-26,-0.1567
2024-08-27,-0.4599
2024-08-28,-0.4557
2024-08-29,-0.5057
2024-08-30,-0.0955
2024-09-02,-0.0798
2024-09-03,-0.0448
2024-09-04,-0.5316
2024-09-05,-0.3558
2024-09-06,-0.6635
2024-09-09,-0.3192
2024-09-10,-0.0879
2024-09-11,-0.0597
2024-09-12,0.5759
2024-09-13,0.5154
2024-09-16,0.4983
2024-09-17,0.3516
2024-09-18,0.1602
2024-09-19,0.3891
2024-09-20,0.5717
2024-09-23,-0.0359
2024-09-24,0.2941
2024-09-25,0.3365
2024-09-26,0.4968
2024-09-27,0.4479
2024-09-30,-0.0956
2024-10-01,-0.4111
2024-10-02,0.2925
2024-10-03,0.2571
2024-10-04,-0.2658
2024-10-07,-0.0604
2024-10-08,-0.1461
2024-10-09,-0.6436
2024-10-10,-1.0861
2024-10-11,-1.1542
2024-10-14,-0.634
2024-10-15,-0.4075
2024-10-16,-0.3274
2024-10-17,-0.1176
2024-10-18,0.1074
2024-10-21,-0.5641
2024-10-22,-0.4401
2024-10-23,-0.5212
2024-10-24,-0.6931
2024-10-25,-0.5939
2024-10-28,-0.4051
2024-10-29,-0.3311
2024-10-30,-0.6417
2024-10-31,-0.5428
2024-11-01,0.2682
2024-11-04,-0.1501
2024-11-05,4.3499
2024-11-06,2.1908
2024-11-07,1.4409
2024-11-08,1.0723
2024-11-11,0.8041
2024-11-12,0.1626
2024-11-13,0.4002
2024-11-14,0.0126
2024-11-15,-0.3327
2024-11-18,-0.3888
2024-11-19,-0.2737
2024-11-20,0.0446
2024-11-21,0.2148
2024-11-22,0.1264
2024-11-25,0.3582
2024-11-26,0.2466
2024-11-27,0.4217
2024-11-28,-0.1597
2024-11-29,-0.5713
2024-12-02,-0.1215
2024-12-03,-0.4923
2024-12-04,-0.3957
2024-12-05,-0.2748
2024-12-06,-0.3167
2024-12-09,-0.3324
2024-12-10,0.2117
2024-12-11,-0.6276
2024-12-12,-0.124
2024-12-13,0.6117
2024-12-16,0.3863
2024-12-17,0.2338
2024-12-18,0.3629
2024-12-19,0.7736
2024-12-20,0.1232
2024-12-23,0.1027
2024-12-24,0.0078
2024-12-25,0.1727
2024-12-26,0.1548
2024-12-27,0.2939
2024-12-30,0.0557
2024-12-31,0.0492
2025-01-01,-0.1706
2025-01-02,-0.305
2025-01-03,-0.2316
2025-01-06,-0.1862
2025-01-07,-0.4672
2025-01-08,0.1814
2025-01-09,0.0719
2025-01-10,-0.3705
2025-01-13,0.1007
2025-01-14,-0.162
2025-01-15,0.052
2025-01-16,0.0272
2025-01-17,0.092
2025-01-20,0.1084
2025-01-21,-0.1054
2025-01-22,-0.053
2025-01-23,0.577
2025-01-24,-0.3135
2025-01-27,-0.1746
2025-01-28,0.0222
2025-01-29,-0.3019
2025-01-30,-0.5983
2025-01-31,0.2767
2025-02-03,0.0601
2025-02-04,0.661
2025-02-05,0.5705
2025-02-06,0.3766
2025-02-07,0.3763
2025-02-10,0.4238
2025-02-11,0.6166
2025-02-12,0.5131
2025-02-13,0.3615
2025-02-14,0.277
2025-02-17,0.5773
2025-02-18,0.603
2025-02-19,0.0733
2025-02-20,-0.1453
2025-02-21,0.0092
2025-02-24,-0.1812
2025-02-25,-0.2253
2025-02-26,-0.4265
2025-02-27,-0.3429
2025-02-28,-0.0855
2025-03-03,0.2455
2025-03-04,0.155
2025-03-05,0.7186
2025-03-06,0.4226
2025-03-07,1.22
2025-03-10,1.0569
2025-03-11,0.0
2025-03-12,0.149
2025-03-13,-0.0573
2025-03-14,-0.8829
2025-03-17,-0.5939
2025-03-18,-0.3148
2025-03-19,0.3816
2025-03-20,-0.1773
2025-03-21,0.4618
2025-03-24,0.2109
2025-03-25,0.348
2025-03-26,-0.5462
2025-03-27,-0.2969
2025-03-28,-0.2872
2025-03-31,0.0267
2025-04-01,0.0439
2025-04-02,-0.3155
2025-04-03,0.0885
2025-04-04,0.2633
2025-04-07,0.3423
2025-04-08,0.5149
2025-04-09,0.6495
2025-04-10,0.3962
2025-04-11,-0.1617
2025-04-14,-0.5157
2025-04-15,0.0852
2025-04-16,0.2659
2025-04-17,0.1955
2025-04-18,-0.0092
2025-04-21,0.0038
2025-04-22,0.0098
2025-04-23,-0.095
