date,energy_cost_index
2024-01-02,0.0
2024-01-03,-0.2632
2024-01-04,-0.0526
2024-01-05,-0.3403
2024-01-08,-0.5725
2024-01-09,-0.7188
2024-01-10,0.1498
2024-01-11,0.9017
2024-01-12,0.6199
2024-01-15,0.0593
2024-01-16,0.2763
2024-01-17,0.0212
2024-01-18,0.2911
2024-01-19,0.2474
2024-01-22,0.2216
2024-01-23,0.3233
2024-01-24,-0.0412
2024-01-25,-0.1621
2024-01-26,-0.6835
2024-01-29,-0.4964
2024-01-30,-0.746
2024-01-31,-0.4236
2024-02-01,-0.547
2024-02-02,-0.2381
2024-02-05,0.0396
2024-02-06,-0.4772
2024-02-07,-0.5233
2024-02-08,-0.5918
2024-02-09,-0.0346
2024-02-12,0.5799
2024-02-13,0.588
2024-02-14,0.1717
2024-02-15,0.5986
2024-02-16,-0.2306
2024-02-19,0.4095
2024-02-20,-0.0249
2024-02-21,-0.9856
2024-02-22,0.435
2024-02-23,0.7698
2024-02-26,0.0237
2024-02-27,0.071
2024-02-28,-0.0396
2024-02-29,0.016
2024-03-01,-0.5112
2024-03-04,-0.4941
2024-03-05,-0.0833
2024-03-06,0.0363
2024-03-07,0.4379
2024-03-08,0.2469
2024-03-11,0.9457
2024-03-12,0.2223
2024-03-13,0.2019
2024-03-14,-0.5697
2024-03-15,-0.7235
2024-03-18,0.1032
2024-03-19,-0.2784
2024-03-20,0.0466
2024-03-21,0.0017
2024-03-22,-0.3648
2024-03-25,-0.3043
2024-03-26,-0.3321
2024-03-27,-0.3366
2024-03-28,0.0954
2024-03-29,0.276
2024-04-01,-0.0641
2024-04-02,-0.3495
2024-04-03,-0.0759
2024-04-04,-0.073
2024-04-05,0.3234
2024-04-08,1.0911
2024-04-09,0.8406
2024-04-10,0.4081
2024-04-11,0.1438
2024-04-12,-0.2279
2024-04-15,-0.4313
2024-04-16,-0.5668
2024-04-17,-0.4218
2024-04-18,-0.3604
2024-04-19,0.0801
2024-04-22,-0.0996
2024-04-23,-0.1189
2024-04-24,-0.4858
2024-04-25,0.3327
2024-04-26,0.3438
2024-04-29,0.798
2024-04-30,0.6779
2024-05-01,0.8603
2024-05-02,0.3432
2024-05-03,0.4226
2024-05-06,1.1582
2024-05-07,0.1509
2024-05-08,0.4871
2024-05-09,0.8378
2024-05-10,0.5663
2024-05-13,0.551
2024-05-14,0.7234
2024-05-15,0.1271
2024-05-16,0.2096
2024-05-17,-0.206
2024-05-20,-0.3449
2024-05-21,-0.3935
2024-05-22,-0.2479
2024-05-23,-0.0716
2024-05-24,0.1263
2024-05-27,-0.4447
2024-05-28,0.487
2024-05-29,0.6578
2024-05-30,0.5891
2024-05-31,0.1663
2024-06-03,0.0512
2024-06-04,0.222
2024-06-05,0.2585
2024-06-06,-0.4731
2024-06-07,0.0292
2024-06-10,1.0605
2024-06-11,-0.1324
2024-06-12,0.2907
2024-06-13,0.2778
2024-06-14,0.0989
2024-06-17,0.5419
2024-06-18,-0.1538
2024-06-19,-0.0184
2024-06-20,0.5165
2024-06-21,0.1875
2024-06-24,-0.0565
2024-06-25,0.013
2024-06-26,-0.1533
2024-06-27,0.4795
2024-06-28,-0.0864
2024-07-01,0.2707
2024-07-02,-0.315
2024-07-03,0.0832
2024-07-04,0.0039
2024-07-05,-0.9274
2024-07-08,-0.4658
2024-07-09,-0.6168
2024-07-10,-0.4683
2024-07-11,0.3194
2024-07-12,-0.2423
2024-07-15,-0.5026
2024-07-16,0.267
2024-07-17,0.1752
2024-07-18,0.6423
2024-07-19,0.4375
2024-07-22,-0.0987
2024-07-23,-0.0732
2024-07-24,0.4058
2024-07-25,0.5415
2024-07-26,0.2711
2024-07-29,0.1531
2024-07-30,0.0361
2024-07-31,-0.1901
2024-08-01,0.6
2024-08-02,0.3026
2024-08-05,-0.2557
2024-08-06,-0.2995
2024-08-07,0.1116
2024-08-08,0.2867
