date,spread_bps
2024-01-02,0.0
2024-01-03,-0.0297
2024-01-04,0.097
2024-01-05,0.4799
2024-01-08,0.1071
2024-01-09,-0.5473
2024-01-10,-0.4153
2024-01-11,-0.2355
2024-01-12,-0.0983
2024-01-15,0.4039
2024-01-16,0.3451
2024-01-17,0.4847
2024-01-18,-0.1043
2024-01-19,0.2433
2024-01-22,0.8748
2024-01-23,0.7779
2024-01-24,0.5399
2024-01-25,0.3671
2024-01-26,0.8384
2024-01-29,0.1618
2024-01-30,0.0549
2024-01-31,0.1929
2024-02-01,0.3723
2024-02-02,0.0629
2024-02-05,0.144
2024-02-06,-0.0137
2024-02-07,0.0342
2024-02-08,-0.0264
2024-02-09,-0.4149
2024-02-12,-0.248
2024-02-13,0.1632
2024-02-14,-0.2438
2024-02-15,-0.2258
2024-02-16,0.1017
2024-02-19,-0.3155
2024-02-20,-0.119
2024-02-21,-0.4401
2024-02-22,0.1419
2024-02-23,0.8918
2024-02-26,1.225
2024-02-27,0.6338
2024-02-28,0.6267
2024-02-29,0.4058
2024-03-01,0.2711
2024-03-04,0.699
2024-03-05,-0.0563
2024-03-06,0.3367
2024-03-07,0.1781
2024-03-08,0.5963
2024-03-11,0.4114
2024-03-12,0.0032
2024-03-13,0.0988
2024-03-14,0.3149
2024-03-15,0.1952
2024-03-18,0.284
2024-03-19,-0.0179
2024-03-20,-0.7572
2024-03-21,-0.1242
2024-03-22,0.1727
2024-03-25,0.152
2024-03-26,0.1121
2024-03-27,0.4277
2024-03-28,0.0881
2024-03-29,-0.1962
2024-04-01,-0.1798
2024-04-02,0.3119
2024-04-03,-0.3046
2024-04-04,0.2405
2024-04-05,-0.0843
2024-04-08,-0.4341
2024-04-09,0.1892
2024-04-10,0.0758
2024-04-11,-0.4111
2024-04-12,-0.364
2024-04-15,0.1148
2024-04-16,0.4838
2024-04-17,0.1311
2024-04-18,0.2183
2024-04-19,0.3765
2024-04-22,-0.0072
2024-04-23,0.1201
2024-04-24,0.0585
2024-04-25,-0.1537
2024-04-26,-0.2614
2024-04-29,-0.1281
2024-04-30,-0.0639
2024-05-01,-0.235
2024-05-02,-0.2854
2024-05-03,0.2242
2024-05-06,0.2049
2024-05-07,0.4286
2024-05-08,0.6692
2024-05-09,0.5942
2024-05-10,1.1395
2024-05-13,0.372
2024-05-14,0.4987
2024-05-15,0.1779
2024-05-16,0.7527
2024-05-17,1.0317
2024-05-20,-0.0856
2024-05-21,-0.3887
2024-05-22,0.007
2024-05-23,0.2805
2024-05-24,0.4205
2024-05-27,0.2191
2024-05-28,0.2864
2024-05-29,0.3946
2024-05-30,0.2016
2024-05-31,0.4765
2024-06-03,-0.5144
2024-06-04,-0.0766
2024-06-05,-0.4063
2024-06-06,0.0999
2024-06-07,-0.0221
2024-06-10,-0.3239
2024-06-11,-0.057
2024-06-12,-0.352
2024-06-13,-0.5236
2024-06-14,-0.8523
2024-06-17,-0.5037
2024-06-18,-0.1182
2024-06-19,0.2895
2024-06-20,0.1183
2024-06-21,0.4354
2024-06-24,0.2588
2024-06-25,0.1175
2024-06-26,0.2689
2024-06-27,0.5264
2024-06-28,0.1858
2024-07-01,0.0224
2024-07-02,-0.0433
2024-07-03,0.0039
2024-07-04,-0.3129
2024-07-05,0.1783
2024-07-08,-0.0367
2024-07-09,0.1406
2024-07-10,-0.2074
2024-07-11,0.0053
2024-07-12,0.1401
2024-07-15,-0.066
2024-07-16,0.6691
2024-07-17,0.5179
2024-07-18,0.9223
2024-07-19,0.8706
2024-07-22,0.2732
2024-07-23,0.0247
2024-07-24,0.1669
2024-07-25,0.1182
2024-07-26,0.0859
2024-07-29,-0.0504
2024-07-30,-0.6622
2024-07-31,-0.463
2024-08-01,-1.0449
2024-08-02,-0.4759
2024-08-05,-0.5301
2024-08-06,-0.5579
2024-08-07,-0.4003
2024-08-08,-0.1368
2024-08-09,-0.5805
2024-08-12,-0.9487
2024-08-13,-0.9234
2024-08-14,-1.2502
2024-08-15,-1.0635
2024-08-16,-0.06
2024-08-19,-0.4046
2024-08-20,-0.0067
2024-08-21,-0.4839
2024-08-22,-0.176
2024-08-23,-0.214
2024-08-26,-0.145
2024-08-27,0.1149
2024-08-28,0.6814
2024-08-29,0.4633
2024-08-30,0.3123
2024-09-02,-0.1596
2024-09-03,0.1116
2024-09-04,-0.0214
2024-09-05,0.2788
2024-09-06,0.1464
2024-09-09,0.6942
2024-09-10,-0.2914
2024-09-11,-0.2728
2024-09-12,0.1503
2024-09-13,-0.0356
2024-09-16,-0.2979
2024-09-17,-0.2658
2024-09-18,-0.6372
2024-09-19,-0.3279
2024-09-20,0.664
2024-09-23,0.7859
2024-09-24,0.0676
2024-09-25,-0.2664
2024-09-26,-0.2962
2024-09-27,0.1798
2024-09-30,-0.1833
2024-10-01,-0.3479
2024-10-02,0.1079
2024-10-03,0.3652
2024-10-04,0.081
2024-10-07,-0.3442
2024-10-08,4.6558
2024-10-09,2.1579
2024-10-10,1.007
2024-10-11,-0.1967
2024-10-14,0.1484
2024-10-15,-0.1345
2024-10-16,0.0905
2024-10-17,0.7064
2024-10-18,0.8203
2024-10-21,0.0728
2024-10-22,0.3465
2024-10-23,0.6062
2024-10-24,0.0904
2024-10-25,-0.2812
2024-10-28,-0.2015
2024-10-29,-0.6774
2024-10-30,0.1219
2024-10-31,-0.7712
2024-11-01,-0.8347
2024-11-04,-0.5785
2024-11-05,-0.415
2024-11-06,-0.1825
2024-11-07,-0.0109
2024-11-08,-0.0811
2024-11-11,0.3509
2024-11-12,-0.5453
2024-11-13,-0.3163
2024-11-14,-0.4336
2024-11-15,-0.2051
2024-11-18,-0.0417
2024-11-19,-0.3433
2024-11-20,-0.4235
2024-11-21,0.0318
2024-11-22,0.1406
2024-11-25,-0.1565
2024-11-26,0.6232
2024-11-27,1.1697
2024-11-28,0.1665
2024-11-29,0.2022
2024-12-02,0.9954
2024-12-03,0.8517
2024-12-04,0.5714
2024-12-05,0.2586
2024-12-06,-0.0394
2024-12-09,-0.0973
2024-12-10,-0.2492
2024-12-11,0.1162
2024-12-12,-0.072
2024-12-13,-0.1961
2024-12-16,-0.5345
2024-12-17,-0.3274
2024-12-18,-0.5028
2024-12-19,-0.3549
2024-12-20,0.1588
2024-12-23,0.2202
2024-12-24,0.3044
2024-12-25,0.3012
2024-12-26,0.1954
2024-12-27,0.0688
2024-12-30,-0.0679
2024-12-31,0.2263
2025-01-01,-0.2482
2025-01-02,0.3253
2025-01-03,0.2006
2025-01-06,-0.1457
