date,inventory_cost_index
2024-01-02,0.0
2024-01-03,0.0956
2024-01-04,0.0586
2024-01-05,0.352
2024-01-08,0.947
2024-01-09,0.9572
2024-01-10,0.6161
2024-01-11,0.4761
2024-01-12,0.4708
2024-01-15,0.0987
2024-01-16,-0.2584
2024-01-17,-0.1393
2024-01-18,-0.3678
2024-01-19,-0.2391
2024-01-22,-0.1146
2024-01-23,0.6335
2024-01-24,0.1248
2024-01-25,0.0383
2024-01-26,-0.0263
2024-01-29,0.1154
2024-01-30,0.3833
2024-01-31,0.0828
2024-02-01,-0.1967
2024-02-02,-0.6102
2024-02-05,-0.644
2024-02-06,-0.2255
2024-02-07,-0.1216
2024-02-08,-0.3776
2024-02-09,-0.3384
2024-02-12,-0.1936
2024-02-13,0.035
2024-02-14,-0.157
2024-02-15,-0.1694
2024-02-16,-0.6471
2024-02-19,-0.7337
2024-02-20,0.0451
2024-02-21,-0.6294
2024-02-22,-0.479
2024-02-23,-0.2216
2024-02-26,-0.2453
2024-02-27,-0.3896
2024-02-28,-0.2521
2024-02-29,-0.1527
2024-03-01,-0.1163
2024-03-04,-0.6331
2024-03-05,-0.4241
2024-03-06,-0.511
2024-03-07,-0.4709
2024-03-08,-0.2145
2024-03-11,0.0635
2024-03-12,0.3072
2024-03-13,0.0354
2024-03-14,0.2984
2024-03-15,0.5312
2024-03-18,0.6597
2024-03-19,0.8127
2024-03-20,0.4439
2024-03-21,0.2141
2024-03-22,0.376
2024-03-25,-0.1844
2024-03-26,-0.0478
2024-03-27,-0.1878
2024-03-28,-0.2233
2024-03-29,-0.6565
2024-04-01,-0.661
2024-04-02,-0.4028
2024-04-03,0.0249
2024-04-04,0.3119
2024-04-05,0.1631
2024-04-08,0.0411
2024-04-09,-0.2246
2024-04-10,-0.014
2024-04-11,-0.0827
2024-04-12,0.1321
2024-04-15,0.6048
2024-04-16,0.3532
2024-04-17,-0.2373
2024-04-18,-0.4006
2024-04-19,-0.6778
2024-04-22,-0.7658
2024-04-23,-0.0679
2024-04-24,0.0272
2024-04-25,-0.4397
2024-04-26,-0.0677
2024-04-29,0.3375
2024-04-30,0.0945
