date,sales_index
2024-01-02,0.0
2024-01-03,-0.3978
2024-01-04,-0.4956
2024-01-05,-0.5913
2024-01-08,-0.0862
2024-01-09,-0.8537
2024-01-10,0.1112
2024-01-11,-0.1439
2024-01-12,-0.3782
2024-01-15,-0.0344
2024-01-16,0.3976
2024-01-17,0.3159
2024-01-18,0.5633
2024-01-19,0.3072
2024-01-22,0.6301
2024-01-23,0.7816
2024-01-24,0.3119
2024-01-25,0.7161
2024-01-26,0.3881
2024-01-29,0.2094
2024-01-30,-0.2744
2024-01-31,-0.239
2024-02-01,0.2035
2024-02-02,-0.4335
2024-02-05,0.0648
2024-02-06,0.1686
2024-02-07,0.1869
2024-02-08,-0.7985
2024-02-09,-0.4006
2024-02-12,0.079
2024-02-13,-0.2696
2024-02-14,-0.0852
2024-02-15,-0.9896
2024-02-16,-0.1768
2024-02-19,-0.3445
2024-02-20,0.1935
2024-02-21,-0.65
2024-02-22,-0.0156
2024-02-23,-0.1018
2024-02-26,0.2772
2024-02-27,-0.2455
2024-02-28,-0.3579
2024-02-29,0.7359
2024-03-01,-0.0008
2024-03-04,-0.2828
2024-03-05,-0.2379
2024-03-06,-0.5161
2024-03-07,0.244
2024-03-08,0.7998
2024-03-11,0.0783
2024-03-12,-0.6552
2024-03-13,0.174
2024-03-14,0.5216
2024-03-15,0.5634
2024-03-18,0.7161
2024-03-19,-0.0247
2024-03-20,-0.0785
2024-03-21,-0.589
2024-03-22,-0.8323
2024-03-25,0.0179
2024-03-26,-0.2607
2024-03-27,0.7945
2024-03-28,0.3872
2024-03-29,-0.0819
2024-04-01,0.2823
2024-04-02,0.8475
2024-04-03,0.5758
2024-04-04,-0.2277
2024-04-05,0.0459
2024-04-08,0.5709
2024-04-09,0.0596
2024-04-10,-0.2826
2024-04-11,0.2794
2024-04-12,0.1817
2024-04-15,-0.3592
2024-04-16,-0.3136
2024-04-17,-0.4434
2024-04-18,-0.081
2024-04-19,0.0074
2024-04-22,0.4635
2024-04-23,0.4924
2024-04-24,-0.4038
2024-04-25,-0.0189
2024-04-26,0.3503
2024-04-29,0.34
2024-04-30,0.565
2024-05-01,0.0344
2024-05-02,-0.3648
2024-05-03,0.2078
2024-05-06,-0.3327
2024-05-07,-1.0135
2024-05-08,-0.046
2024-05-09,-0.3104
2024-05-10,-0.2621
2024-05-13,-0.6771
2024-05-14,-0.8349
2024-05-15,-0.8383
2024-05-16,-0.5215
2024-05-17,-0.0867
2024-05-20,-0.9581
2024-05-21,-0.1303
2024-05-22,-0.5314
2024-05-23,-0.6657
2024-05-24,-0.0284
2024-05-27,-0.0426
2024-05-28,-0.6338
2024-05-29,0.4526
2024-05-30,-0.1406
2024-05-31,0.0357
2024-06-03,0.096
2024-06-04,0.6077
2024-06-05,0.0912
2024-06-06,0.4443
2024-06-07,-0.0968
2024-06-10,0.4053
2024-06-11,-0.1228
2024-06-12,-0.2002
2024-06-13,0.6683
2024-06-14,0.4275
2024-06-17,0.2363
2024-06-18,1.0032
2024-06-19,0.596
2024-06-20,-0.0583
2024-06-21,0.2676
2024-06-24,-0.3522
2024-06-25,0.2928
2024-06-26,0.6142
2024-06-27,0.0472
2024-06-28,-0.2299
2024-07-01,-0.0329
2024-07-02,-0.0091
2024-07-03,-0.3952
2024-07-04,0.0494
2024-07-05,-0.7945
2024-07-08,-0.5307
2024-07-09,-0.4004
2024-07-10,-0.2895
2024-07-11,-0.0074
2024-07-12,-0.4945
2024-07-15,0.0129
2024-07-16,-0.0663
2024-07-17,-0.2899
2024-07-18,-0.6772
2024-07-19,-0.778
2024-07-22,-0.206
2024-07-23,-0.4782
2024-07-24,-0.1895
2024-07-25,0.3395
2024-07-26,0.5658
2024-07-29,0.8788
2024-07-30,0.2769
2024-07-31,-0.3094
2024-08-01,0.269
2024-08-02,0.2449
2024-08-05,0.5598
2024-08-06,0.2563
2024-08-07,0.5936
2024-08-08,0.6057
2024-08-09,0.5591
2024-08-12,0.453
2024-08-13,0.3629
2024-08-14,0.2565
2024-08-15,0.2058
2024-08-16,0.4887
2024-08-19,0.0151
2024-08-20,0.7011
2024-08-21,0.273
2024-08-22,0.517
2024-08-23,0.1966
2024-08-26,-0.0102
2024-08-27,0.8083
2024-08-28,0.24
2024-08-29,-0.4029
2024-08-30,-0.4669
2024-09-02,-0.337
2024-09-03,0.7104
2024-09-04,0.4024
2024-09-05,0.555
2024-09-06,-0.1509
2024-09-09,0.0731
2024-09-10,0.3015
2024-09-11,0.8563
2024-09-12,0.1068
2024-09-13,0.2895
2024-09-16,0.2513
2024-09-17,-0.2956
2024-09-18,-0.1408
2024-09-19,-0.1688
2024-09-20,-1.0061
2024-09-23,-0.2133
2024-09-24,0.1201
2024-09-25,-0.1215
2024-09-26,-0.5901
2024-09-27,0.3264
2024-09-30,0.2533
2024-10-01,0.5207
2024-10-02,0.7984
2024-10-03,0.1509
2024-10-04,0.3928
2024-10-07,0.0803
2024-10-08,6.0803
2024-10-09,2.7111
2024-10-10,1.1858
2024-10-11,0.5331
2024-10-14,0.6855
2024-10-15,0.358
2024-10-16,0.0996
2024-10-17,-0.0658
2024-10-18,0.1069
2024-10-21,-0.3098
