date,score_gap_to_target
2024-01-02,0.0
2024-01-03,-0.5459
2024-01-04,-0.7467
2024-01-05,-0.5482
2024-01-08,-0.456
2024-01-09,-0.2028
2024-01-10,0.2915
2024-01-11,-0.0202
2024-01-12,0.1624
2024-01-15,0.2917
2024-01-16,-0.2336
2024-01-17,-0.0368
2024-01-18,-0.3483
2024-01-19,0.1982
2024-01-22,0.2584
2024-01-23,0.135
2024-01-24,-0.4014
2024-01-25,-0.1601
2024-01-26,-0.3485
2024-01-29,0.0728
2024-01-30,-0.0053
2024-01-31,-0.287
2024-02-01,0.1804
2024-02-02,0.3428
2024-02-05,-0.0363
2024-02-06,0.3886
2024-02-07,0.0898
2024-02-08,-0.0633
2024-02-09,0.0117
2024-02-12,-0.2576
2024-02-13,-0.2834
2024-02-14,-0.1978
2024-02-15,0.4367
2024-02-16,0.7432
2024-02-19,0.281
2024-02-20,0.7042
2024-02-21,0.3369
2024-02-22,0.3017
2024-02-23,0.4601
2024-02-26,0.3323
2024-02-27,1.0114
2024-02-28,0.5909
2024-02-29,-0.1237
2024-03-01,0.3951
2024-03-04,0.0533
2024-03-05,-0.0798
2024-03-06,-1.087
2024-03-07,-0.1932
2024-03-08,0.1899
2024-03-11,0.3746
2024-03-12,0.5297
2024-03-13,0.8567
2024-03-14,0.4123
2024-03-15,0.5343
2024-03-18,0.0068
2024-03-19,-0.1204
2024-03-20,0.3097
2024-03-21,0.2917
2024-03-22,-0.3208
2024-03-25,-0.034
2024-03-26,-0.081
2024-03-27,-0.327
2024-03-28,-0.0115
2024-03-29,-0.1473
2024-04-01,-0.6233
2024-04-02,-0.7006
2024-04-03,0.2689
2024-04-04,-0.3958
2024-04-05,-0.1199
2024-04-08,0.1536
2024-04-09,0.3005
2024-04-10,-0.2787
2024-04-11,-0.2519
2024-04-12,-0.0766
2024-04-15,0.2418
2024-04-16,-0.1049
2024-04-17,-0.4596
2024-04-18,0.1211
2024-04-19,0.4473
2024-04-22,0.3532
2024-04-23,-0.0365
2024-04-24,0.1241
2024-04-25,0.1003
2024-04-26,0.3433
2024-04-29,-0.2655
2024-04-30,-0.0921
2024-05-01,-0.1017
2024-05-02,-0.4392
2024-05-03,-0.1441
2024-05-06,-0.0599
2024-05-07,-0.1736
2024-05-08,0.0518
2024-05-09,-0.4707
2024-05-10,-0.2541
2024-05-13,0.0239
2024-05-14,0.1114
2024-05-15,0.4324
2024-05-16,-0.2042
2024-05-17,-0.6298
2024-05-20,-0.2312
2024-05-21,0.0437
2024-05-22,0.7638
2024-05-23,0.5977
2024-05-24,-0.007
2024-05-27,0.2786
2024-05-28,-0.1567
2024-05-29,-0.5984
2024-05-30,0.614
2024-05-31,0.421
2024-06-03,0.4608
2024-06-04,0.4276
2024-06-05,0.848
2024-06-06,0.5235
2024-06-07,0.6879
2024-06-10,-0.0156
2024-06-11,-0.4951
2024-06-12,0.2518
2024-06-13,0.6421
2024-06-14,0.4998
2024-06-17,0.329
2024-06-18,0.2227
2024-06-19,-0.1295
2024-06-20,0.4738
2024-06-21,0.4675
2024-06-24,0.4108
2024-06-25,0.337
2024-06-26,0.5353
2024-06-27,0.4444
2024-06-28,0.4831
2024-07-01,-0.1676
2024-07-02,0.0947
2024-07-03,0.8129
2024-07-04,0.225
2024-07-05,0.0674
2024-07-08,0.3459
2024-07-09,0.508
2024-07-10,0.4725
2024-07-11,-0.3299
2024-07-12,0.0107
2024-07-15,-0.409
2024-07-16,-0.4931
2024-07-17,-0.0547
2024-07-18,-0.1309
2024-07-19,0.2179
2024-07-22,1.2108
2024-07-23,0.8774
2024-07-24,0.6917
2024-07-25,0.0323
2024-07-26,-0.2089
2024-07-29,-0.4767
2024-07-30,-0.4248
2024-07-31,-0.5945
2024-08-01,-0.5281
2024-08-02,-0.3371
2024-08-05,-0.5188
2024-08-06,-0.7561
2024-08-07,-0.8545
2024-08-08,-0.2684
2024-08-09,-0.1133
2024-08-12,0.3024
2024-08-13,0.5168
2024-08-14,0.1392
2024-08-15,0.3041
2024-08-16,-0.3521
2024-08-19,0.623
2024-08-20,0.7299
2024-08-21,0.2897
2024-08-22,-0.2623
2024-08-23,0.0019
2024-08-26,-0.6536
2024-08-27,-0.5995
2024-08-28,-0.0377
2024-08-29,0.0076
2024-08-30,-0.1681
2024-09-02,0.2487
2024-09-03,-0.2392
2024-09-04,-0.0199
2024-09-05,-0.1842
2024-09-06,-0.3887
2024-09-09,-0.0322
2024-09-10,-5.0322
2024-09-11,-2.8636
2024-09-12,-0.7661
2024-09-13,-0.5877
2024-09-16,0.4026
2024-09-17,-0.1816
2024-09-18,0.1213
2024-09-19,-0.3592
2024-09-20,-0.649
2024-09-23,-0.2686
2024-09-24,0.1028
2024-09-25,-0.3946
2024-09-26,0.2172
2024-09-27,-0.1706
2024-09-30,-0.0394
2024-10-01,0.1132
2024-10-02,0.2648
2024-10-03,-0.4969
2024-10-04,0.3181
2024-10-07,0.3557
2024-10-08,0.0289
2024-10-09,-0.344
2024-10-10,-0.7649
2024-10-11,-0.859
2024-10-14,-0.2388
2024-10-15,-0.2388
2024-10-16,-0.5154
2024-10-17,-0.4421
2024-10-18,0.3264
2024-10-21,0.0475
2024-10-22,-0.1808
2024-10-23,0.3823
2024-10-24,0.3528
2024-10-25,0.1919
2024-10-28,-0.1168
2024-10-29,-0.6017
2024-10-30,-0.7106
2024-10-31,-0.5234
2024-11-01,-0.3386
2024-11-04,-0.0446
2024-11-05,0.1708
2024-11-06,0.1634
2024-11-07,0.1589
2024-11-08,-0.2732
2024-11-11,-0.8908
2024-11-12,-0.6277
2024-11-13,-0.6478
2024-11-14,-0.5523
2024-11-15,-0.3723
2024-11-18,-0.6214
2024-11-19,-0.6994
2024-11-20,-0.3848
2024-11-21,-0.1519
2024-11-22,-0.3055
2024-11-25,0.0216
2024-11-26,-0.066
2024-11-27,-0.39
2024-11-28,-0.1807
2024-11-29,0.5685
2024-12-02,0.048
2024-12-03,0.4322
2024-12-04,0.6983
2024-12-05,0.8735
2024-12-06,0.1488
2024-12-09,0.7798
2024-12-10,0.4306
2024-12-11,0.1265
2024-12-12,-0.0174
2024-12-13,0.2019
2024-12-16,0.1188
