date,anomaly_score
2024-01-02,0.0
2024-01-03,0.244
2024-01-04,0.0209
2024-01-05,0.0237
2024-01-08,-0.2358
2024-01-09,0.4063
2024-01-10,0.3981
2024-01-11,-0.1319
2024-01-12,-0.0647
2024-01-15,0.1817
2024-01-16,0.2347
2024-01-17,0.6661
2024-01-18,0.7447
2024-01-19,0.2106
2024-01-22,0.0785
2024-01-23,-0.3452
2024-01-24,-0.0978
2024-01-25,-0.0036
2024-01-26,0.8093
2024-01-29,0.4339
2024-01-30,-0.411
2024-01-31,-0.4071
2024-02-01,-0.1699
2024-02-02,-0.4617
2024-02-05,-0.491
2024-02-06,-0.3552
2024-02-07,-0.0751
2024-02-08,-0.0871
2024-02-09,-0.3103
2024-02-12,0.0811
2024-02-13,-0.1213
2024-02-14,-0.2105
2024-02-15,-0.5191
2024-02-16,-0.4954
2024-02-19,-0.0522
2024-02-20,-0.5114
2024-02-21,-0.277
2024-02-22,0.0768
2024-02-23,-0.0747
2024-02-26,0.0346
2024-02-27,-0.3178
2024-02-28,0.2342
2024-02-29,0.4474
2024-03-01,0.2944
2024-03-04,-0.3793
2024-03-05,-0.5035
2024-03-06,0.0413
2024-03-07,0.5346
2024-03-08,0.3563
2024-03-11,0.5523
2024-03-12,0.0938
2024-03-13,-0.0099
2024-03-14,-0.0046
2024-03-15,0.1246
2024-03-18,-0.3963
2024-03-19,0.084
2024-03-20,0.4388
2024-03-21,-0.1252
2024-03-22,-0.4692
2024-03-25,-0.1294
2024-03-26,-0.261
2024-03-27,-0.8418
2024-03-28,-0.1783
2024-03-29,-0.0425
2024-04-01,-0.1642
2024-04-02,0.5519
2024-04-03,0.3176
2024-04-04,-0.0672
2024-04-05,-0.0033
2024-04-08,-0.3137
2024-04-09,-0.3853
2024-04-10,-0.0768
2024-04-11,-0.2046
2024-04-12,-0.2376
2024-04-15,0.3819
2024-04-16,0.4488
2024-04-17,0.4653
2024-04-18,0.3913
2024-04-19,0.3409
2024-04-22,0.6074
2024-04-23,0.2978
2024-04-24,0.7056
2024-04-25,0.0674
2024-04-26,-0.0428
2024-04-29,-0.435
2024-04-30,-0.3206
2024-05-01,-0.0048
2024-05-02,0.433
2024-05-03,0.0175
2024-05-06,0.0103
2024-05-07,-0.1026
2024-05-08,-0.2729
2024-05-09,-0.4933
2024-05-10,-0.2284
2024-05-13,-0.6338
2024-05-14,-0.2838
2024-05-15,-0.1356
2024-05-16,-0.2651
2024-05-17,-0.4358
2024-05-20,-0.6332
2024-05-21,0.2448
2024-05-22,-0.2802
2024-05-23,0.3272
2024-05-24,0.3437
2024-05-27,0.0626
2024-05-28,-0.3158
2024-05-29,0.1548
2024-05-30,0.5963
2024-05-31,0.018
2024-06-03,-0.0806
2024-06-04,0.2752
2024-06-05,0.2383
2024-06-06,0.7191
2024-06-07,0.1885
2024-06-10,0.257
2024-06-11,-0.2468
2024-06-12,0.5054
2024-06-13,0.0336
2024-06-14,-0.6456
2024-06-17,-0.3605
2024-06-18,-0.2221
2024-06-19,0.4636
2024-06-20,0.1302
2024-06-21,0.0613
2024-06-24,0.2087
2024-06-25,0.5802
2024-06-26,0.2711
2024-06-27,0.4474
2024-06-28,0.3791
2024-07-01,0.1007
2024-07-02,0.0736
2024-07-03,0.0454
2024-07-04,-0.2521
2024-07-05,0.2381
2024-07-08,-0.2967
2024-07-09,0.203
2024-07-10,0.3878
2024-07-11,0.166
2024-07-12,-0.1466
2024-07-15,-0.1412
2024-07-16,0.0712
2024-07-17,0.2585
2024-07-18,0.2153
2024-07-19,0.4053
2024-07-22,0.0354
2024-07-23,0.0881
2024-07-24,-0.4265
2024-07-25,0.0159
2024-07-26,0.0539
2024-07-29,-0.0977
2024-07-30,0.2996
2024-07-31,0.3573
2024-08-01,-0.6663
2024-08-02,-0.3212
2024-08-05,-0.5971
2024-08-06,0.0214
2024-08-07,0.7574
2024-08-08,0.2232
2024-08-09,0.134
2024-08-12,-0.0083
2024-08-13,0.1011
2024-08-14,0.2439
2024-08-15,0.5081
2024-08-16,-0.0422
2024-08-19,0.4504
2024-08-20,-0.0543
2024-08-21,0.056
2024-08-22,0.3756
2024-08-23,0.4017
2024-08-26,-0.0807
2024-08-27,-0.2509
2024-08-28,-0.2642
2024-08-29,-0.1474
2024-08-30,0.2704
2024-09-02,-0.2524
2024-09-03,0.0138
2024-09-04,0.1899
2024-09-05,0.2624
2024-09-06,0.2711
2024-09-09,0.5911
2024-09-10,0.4419
2024-09-11,0.478
2024-09-12,0.4081
2024-09-13,0.742
2024-09-16,-0.199
2024-09-17,0.2852
2024-09-18,0.0643
2024-09-19,-0.0521
2024-09-20,-0.3169
2024-09-23,-0.7191
2024-09-24,-0.4741
2024-09-25,-0.4432
2024-09-26,-0.0734
2024-09-27,-0.4784
2024-09-30,0.1903
2024-10-01,0.1767
2024-10-02,0.014
2024-10-03,-0.2058
2024-10-04,-0.3391
2024-10-07,-0.5086
2024-10-08,4.4914
2024-10-09,2.0824
2024-10-10,1.043
2024-10-11,0.4683
2024-10-14,-0.1902
2024-10-15,-0.1748
2024-10-16,-0.3554
2024-10-17,-0.1297
2024-10-18,0.4945
2024-10-21,0.4348
2024-10-22,0.1235
2024-10-23,-0.4257
2024-10-24,-0.6373
2024-10-25,-0.8247
2024-10-28,-0.1945
2024-10-29,-0.3268
2024-10-30,-0.1446
2024-10-31,-0.2589
2024-11-01,-0.1021
2024-11-04,0.3695
2024-11-05,-0.0208
2024-11-06,-0.1127
2024-11-07,-0.2982
2024-11-08,0.1133
2024-11-11,-0.2511
2024-11-12,-0.4654
2024-11-13,-0.649
2024-11-14,-0.7471
2024-11-15,-0.2323
2024-11-18,0.6546
2024-11-19,0.0287
2024-11-20,0.2998
2024-11-21,0.2252
2024-11-22,-0.218
2024-11-25,-0.192
2024-11-26,-0.1659
2024-11-27,-0.2901
2024-11-28,0.4341
2024-11-29,-0.3548
2024-12-02,-0.0631
2024-12-03,0.0679
2024-12-04,-0.1399
2024-12-05,-0.0251
2024-12-06,0.2507
2024-12-09,0.1712
2024-12-10,0.2108
2024-12-11,0.3133
2024-12-12,-0.453
2024-12-13,0.217
2024-12-16,0.792
2024-12-17,0.6902
2024-12-18,0.6492
2024-12-19,-0.0979
2024-12-20,-0.0845
2024-12-23,-0.2858
2024-12-24,-0.3191
2024-12-25,0.1306
2024-12-26,-0.1759
2024-12-27,-0.127
2024-12-30,-0.6361
2024-12-31,-0.3656
2025-01-01,-0.1558
2025-01-02,-0.2893
2025-01-03,-0.3606
2025-01-06,0.3856
2025-01-07,-0.1701
2025-01-08,-0.4002
2025-01-09,-0.4428
2025-01-10,0.1382
2025-01-13,0.6996
2025-01-14,0.4494
2025-01-15,0.0095
2025-01-16,-0.1236
2025-01-17,0.2577
2025-01-20,-0.1445
2025-01-21,0.3636
2025-01-22,0.6068
2025-01-23,0.3245
2025-01-24,0.3561
2025-01-27,0.403
