date,anomaly_score
2024-01-02,0.0
2024-01-03,0.4663
2024-01-04,-0.0823
2024-01-05,0.3132
2024-01-08,0.044
2024-01-09,-0.2083
2024-01-10,-0.0734
2024-01-11,-0.101
2024-01-12,-0.3467
2024-01-15,-0.6526
2024-01-16,-0.6089
2024-01-17,0.1313
2024-01-18,0.6544
2024-01-19,0.5222
2024-01-22,0.6169
2024-01-23,0.1534
2024-01-24,0.0536
2024-01-25,0.1116
2024-01-26,-0.2686
2024-01-29,-0.4313
2024-01-30,-0.1865
2024-01-31,-0.1893
2024-02-01,-0.4137
2024-02-02,-0.0909
2024-02-05,-0.1244
2024-02-06,0.2442
2024-02-07,0.1205
2024-02-08,-0.0298
2024-02-09,0.0234
2024-02-12,-0.0399
2024-02-13,-0.2204
2024-02-14,-0.2308
2024-02-15,0.1094
2024-02-16,0.2487
2024-02-19,0.5102
2024-02-20,-0.2528
2024-02-21,-0.2443
2024-02-22,-0.2465
2024-02-23,-0.0717
2024-02-26,-0.1715
2024-02-27,-0.2397
2024-02-28,0.115
2024-02-29,0.1109
2024-03-01,-0.2944
2024-03-04,0.2531
2024-03-05,0.4256
2024-03-06,0.0406
2024-03-07,0.2697
2024-03-08,-0.0857
2024-03-11,0.2949
2024-03-12,0.0821
2024-03-13,-0.1998
2024-03-14,-0.2118
2024-03-15,-0.3357
2024-03-18,-0.1102
2024-03-19,-0.0026
2024-03-20,0.0095
2024-03-21,-0.1623
2024-03-22,-1.1795
2024-03-25,-0.5619
2024-03-26,-0.8498
2024-03-27,-0.3516
2024-03-28,0.1634
2024-03-29,0.1639
2024-04-01,-0.0349
2024-04-02,-0.0714
2024-04-03,-0.0756
2024-04-04,-0.2026
2024-04-05,-0.2764
2024-04-08,-0.4154
2024-04-09,0.1488
2024-04-10,0.0697
2024-04-11,0.3217
2024-04-12,0.0859
2024-04-15,0.0646
2024-04-16,-0.0188
2024-04-17,0.1294
2024-04-18,0.3127
2024-04-19,0.2283
2024-04-22,-0.088
2024-04-23,-0.278
2024-04-24,0.3588
2024-04-25,0.0954
2024-04-26,-0.0396
2024-04-29,0.4197
2024-04-30,0.5362
2024-05-01,0.4283
2024-05-02,0.0943
2024-05-03,0.7531
2024-05-06,0.4944
2024-05-07,0.4113
2024-05-08,0.1543
2024-05-09,-0.3471
2024-05-10,-0.574
2024-05-13,-0.1649
2024-05-14,0.0351
2024-05-15,-0.0545
2024-05-16,-0.3787
2024-05-17,-0.6219
2024-05-20,-0.4093
2024-05-21,-0.6415
2024-05-22,-0.0511
2024-05-23,0.3203
2024-05-24,1.0088
2024-05-27,0.7679
2024-05-28,0.2061
2024-05-29,-0.1584
2024-05-30,-1.1147
2024-05-31,-0.7358
2024-06-03,-0.421
2024-06-04,0.0798
2024-06-05,0.2234
2024-06-06,0.2882
2024-06-07,0.2082
2024-06-10,0.3024
2024-06-11,0.5855
2024-06-12,-0.0267
2024-06-13,-0.1506
2024-06-14,-0.4918
2024-06-17,0.2397
2024-06-18,0.5089
2024-06-19,0.4801
2024-06-20,-0.1195
2024-06-21,-0.0079
2024-06-24,-0.0743
2024-06-25,-0.0129
2024-06-26,-0.0629
2024-06-27,0.1245
2024-06-28,-0.0562
2024-07-01,0.2283
2024-07-02,0.1866
2024-07-03,0.0054
2024-07-04,-0.0309
2024-07-05,-0.1476
2024-07-08,0.1704
2024-07-09,0.0037
2024-07-10,0.0903
2024-07-11,-0.0726
2024-07-12,-0.4818
2024-07-15,0.0309
2024-07-16,-0.302
2024-07-17,0.0528
2024-07-18,0.1524
2024-07-19,-0.4206
2024-07-22,-0.4937
2024-07-23,-0.4011
2024-07-24,-0.4468
2024-07-25,-0.578
2024-07-26,-0.067
2024-07-29,-0.1053
2024-07-30,0.063
2024-07-31,-0.0976
2024-08-01,0.0428
2024-08-02,-0.204
2024-08-05,-0.1099
2024-08-06,0.1196
2024-08-07,0.0733
2024-08-08,-0.1005
2024-08-09,-0.3762
2024-08-12,-0.1378
2024-08-13,0.0346
2024-08-14,-0.0602
2024-08-15,-0.2609
2024-08-16,0.0323
2024-08-19,0.7607
2024-08-20,0.2896
2024-08-21,0.2458
2024-08-22,0.2361
